,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC010168.1,75.7090894,-0.884644745,2.142507918,-1.252977557,0.210213875,0.47183184
TEX28,14.52116781,0.218207231,2.832510875,0.730722835,0.464948465,0.729445087
AP002784.1,32.04277242,0.147159232,1.631525963,1.220212737,0.22238424,0.487688283
AKR7A2,1426.01441,4.62046634,2.205388028,7.906227591,2.65306E-15,5.29898E-14
CCDC62,34.46164469,0.354979151,1.651785654,1.178966577,0.238411485,0.508228846
C19orf18,35.12089167,-0.229965453,1.72336647,-0.379672304,0.704188681,0.900730338
SLC45A4,416.6471257,1.042297449,4.793841523,-0.436758239,0.662286688,0.873063635
BANP,307.1280511,0.109039766,0.317826004,1.163245385,0.244729957,0.51570771
LINC00612,15.55181479,0.243966091,1.799792945,1.118612368,0.263305545,0.53827264
KLHL32,104.6507827,0.449919831,1.262439466,-3.007031626,0.002638123,0.014452001
P2RY14,61.99221374,0.259538428,0.808636896,6.506624214,7.68584E-11,1.16215E-09
MMP28,57.90734357,0.407239452,1.583131983,1.118092977,0.263527285,0.538497717
CNTN3,174.8162366,-0.80988907,1.988799292,-4.126494461,3.68335E-05,0.000296605
AC026894.1,15.56163884,-0.129511745,1.999497337,0.079805195,0.936392192,1
LINC02427,34.56330048,0.160168334,1.605701141,-0.499431999,0.617475081,0.842067021
AL117382.1,16.25159873,-0.201091355,2521.248805,-0.284643971,0.77591692,0.947081983
GHDC,144.6556336,2.954713387,2.212275572,4.294540671,1.75055E-05,0.000148267
COL19A1,96.56126087,-0.025005823,2.148338034,-1.06699263,0.285975164,0.565592406
ZNF550,36.66062582,0.158027665,0.423246316,5.253365515,1.49345E-07,1.691E-06
DDX43,18.99909191,0.046253313,4.110660187,0.110399191,0.912092795,1
BRD3OS,98.14673702,0.818308875,3.09491746,3.606098764,0.000310835,0.002099877
SMG8,38.98649159,0.544953788,1.444503234,3.873511561,0.000107278,0.000784026
DNAAF3,17.30882472,0.250036497,1.463138509,1.218026466,0.223213915,0.488841009
GRASP,164.5812082,0.070492136,55.29269566,0.01112223,0.991125928,1
GNA15,90.38033228,0.309429638,5.849651552,0.816194748,0.41438876,0.690174581
CRIPAK,44.61699249,0.304440622,1.403036667,-0.413986714,0.678883837,0.884186184
DPEP2,54.87701222,0.136307934,5.494704884,-0.040108339,0.968006754,1
AKT3,1392.03391,-0.674182451,0.400279171,-0.778441748,0.436308635,0.707106451
AP000943.2,22.07428271,-0.00747674,3.542198964,0.446749801,0.65505572,0.867904963
CATIP-AS2,30.82992806,0.055536386,1.166457463,0.192265373,0.84753434,0.989702716
AC108471.2,23.1880047,0.094043516,1.31513666,0.905689437,0.365100255,0.647329932
MTUS1,657.4194439,0.619423057,0.972942591,-0.529704896,0.596316553,0.827602617
SALL3,45.63376424,-1.746553012,0.963274951,0,1,1
SLC16A5,258.6375136,2.279897027,0.890346459,-0.237200076,0.812501577,0.970434903
RHOD,131.4173384,2.20697466,1.688579663,4.692413363,2.70001E-06,2.62306E-05
AC124852.1,51.1420829,-0.16878073,7.63298888,-0.002465524,0.998032799,1
GLT8D2,32.67386169,-0.768187726,0.477607076,0,1,1
ARHGAP25,166.7946761,-0.123196086,1.459489045,1.037726662,0.299397329,0.579539545
PHYHIP,23.19423262,-0.242908874,3.470086087,0.876101524,0.380974844,0.660858517
AC015908.2,19.61836273,-0.069033039,2.226692694,0.655140262,0.512377452,0.766586896
AL109930.1,65.65996548,-0.69476167,1.632743861,-0.111546538,0.911182964,1
DOCK6,278.28149,-0.390162665,1.024497293,0.247059725,0.804862002,0.965854427
LINC02147,162.3255984,-0.211190564,1.869418966,-1.314315555,0.188740035,0.443961565
TYMP,145.6066071,0.113350736,1.943878533,1.76080229,0.078271872,0.245637199
KCND3,49.86282624,-0.2021992,8.377846112,-0.053452372,0.957371478,1
BACH2,639.7781574,-0.375106107,0.549660235,-2.911111162,0.003601459,0.018933727
AL031073.2,99.57929548,-0.074018908,51.67101652,-0.126489916,0.899344131,1
ZGRF1,37.98362051,0.118563656,1.016309213,-0.029671675,0.976328902,1
NXPH2,154.598968,-0.04434649,8.055095524,-0.101130964,0.919446498,1
IGHV3-33,17.52071921,0.105115974,203.9877906,0.052503917,0.958127174,1
RGS14,229.1147092,0.631716045,2.040972266,3.786723473,0.000152647,0.001085176
LINC00616,20.1510887,0.032606966,2.286001432,0.584653621,0.558780645,0.801212379
ADAMTS12,41.96472942,-0.293600212,3.884353694,0.125161069,0.900396037,1
MUC6,25.2001828,-0.219089662,4.447041161,0.121678529,0.903153618,1
FOLR2,52.1111615,0.601492916,2.800075411,-0.066997218,0.946583918,1
VASH1-AS1,24.08187405,0.871066914,1.567602133,0.87622131,0.380909734,0.660858517
FBXO5,29.93756671,0.259620031,1.137818912,2.797147501,0.005155599,0.026061365
LCK,193.6269038,3.723894161,3.322899739,2.272659251,0.023046722,0.094009187
GAS2L1,115.7016887,0.268950729,1.399582333,-0.68360984,0.494221569,0.751631579
CHD5,14.08319948,-0.088876825,1.421575244,0.835327186,0.403533514,0.680347315
CTC1,93.74206869,0.07047107,0.654195037,1.338091754,0.180866528,0.43191356
ARHGAP20,18.89533566,-0.234270932,2.367938158,0.605266263,0.545002094,0.792525539
ADCY9,338.8482113,0.239686875,0.782294206,-2.235895501,0.025358617,0.101592433
USP13,157.7434502,-1.282762437,1.84735142,2.449571494,0.014302631,0.062974662
NAALAD2,26.71319722,-0.082976708,1.705144915,1.212684972,0.225250287,0.492071903
ARAP3,90.49362859,0.013389527,45.87377184,-0.066160102,0.947250361,1
LINC02742,24.36202908,-0.083360285,2.151888834,-0.145422571,0.884377245,1
SFMBT1,323.5856546,-1.268386413,1.496228814,-2.3097808,0.020900293,0.086907381
P4HA1,628.3786663,0.250955581,1.089174272,1.737620332,0.082277735,0.255219713
ZC3HAV1L,17.03708884,-0.002414703,1.507882659,0.708660174,0.478535385,0.740088344
LINC02133,17.55707454,-0.065890774,1.619087402,0.991551542,0.321416338,0.602312239
ADAMTS16,287.3624003,-0.122803316,52.17687012,0.060601301,0.951676737,1
SPATA9,15.78603041,0.096042831,1.403630997,0.4781976,0.632509571,0.851214128
SRRM3,16.64015643,-0.0070255,2.908116362,0.427113992,0.669296302,0.877626944
LRRC8E,13.31012656,0.216280172,1.308702763,1.686588531,0.091682499,0.276221445
NDUFV2-AS1,83.97711008,0.158176644,1.197940975,1.408107474,0.159099248,0.399487363
IRX2,155.0573816,0.288061171,1.583610365,1.259437882,0.207872214,0.4689638
LINC01428,39.16150059,-2.361913109,3.714850896,-0.387271004,0.69855559,0.896377464
PACRG,885.4102774,-1.358857173,3.608138388,-1.278164017,0.201191601,0.46058267
LY86-AS1,117.4310152,-1.23758203,8.951463522,-0.457524073,0.647294403,0.862016719
AP000317.1,82.73375614,0.378413837,1.274989577,-2.098622015,0.035850234,0.133738286
PSMD6-AS1,17.17699986,0.023730551,1.412314407,0.439994264,0.659941262,0.871758641
ECM2,72.48749995,-0.470469004,2.248674034,0.518456194,0.604140016,0.83250996
FAM222A-AS1,38.2995516,0.004161581,11.10679479,-0.029698727,0.976307327,1
LY6E-DT,56.92557482,-0.188927979,1.460496805,1.546489669,0.121986353,0.336806625
UBL4A,129.5095322,4.095811086,2.593928727,4.806693011,1.53447E-06,1.534E-05
AC006525.1,13.1090101,-0.075455548,2.567424834,0.735823821,0.461837922,0.725981821
CD34,290.906181,1.553454583,2.372239244,2.718241882,0.006562984,0.032204022
AC008074.2,17.5804469,0.32433808,3.414704335,0.535577163,0.592250816,0.824422301
GJA4,132.1610578,5.100811013,3.292900261,0.321197851,0.74806046,0.931286522
BRWD1-AS2,13.3679293,0.571837819,2.082612754,0.856526462,0.391706642,0.669664128
AC004771.4,42.52541624,0.397446259,1.52383292,-0.661837867,0.508075135,0.763814996
AP000462.1,40.28824282,0.469750232,1.845245933,1.330541232,0.183340011,0.435528462
TIE1,141.9355299,1.46462712,2.593797306,4.038542878,5.37843E-05,0.000418771
ATF7IP,698.7628774,-0.357110605,0.500880641,-1.738388637,0.082142358,0.254881738
LINC00499,12.9703905,-0.189619667,2.646410234,0.85343167,0.393419965,0.671759535
MRLN,125.0651177,0.050890631,3.194839434,0.639550756,0.522464706,0.774226884
SOD1,5974.600304,7.054652107,3.563565643,8.730222926,2.54171E-18,5.99508E-17
LINC00324,37.56790132,0.465007163,1.584194034,2.862338594,0.004205274,0.021717493
FAT4,185.455839,0.122621447,1.109257552,-0.540155196,0.589090008,0.821953783
AC008083.3,18.40323016,0.112588488,1.764112,1.195158783,0.232024999,0.500860408
C7orf61,24.8585552,-0.301252599,1.170007177,0.456252157,0.648208664,0.862757861
MYO1F,338.7756372,0.033529947,13.16573648,2.558226448,0.010520756,0.048376421
AFAP1L2,153.6999687,0.378470834,1.496091351,-0.229218163,0.818699356,0.973886415
XYLT1,347.7712974,-0.1133388,0.661029589,-3.262464524,0.00110448,0.006730839
SLFN12,55.89239538,0.600891703,0.284131601,0,1,1
ANKRD24,31.28577126,-0.127494044,1.664015372,0.625305401,0.531770636,0.782607372
RDH10,396.0729497,3.194201643,1.267725394,3.617558158,0.000297396,0.002016933
USP46-AS1,29.29045342,0.276606826,1.27101689,1.777512798,0.075483907,0.239065414
ZNF750,12.92400257,-0.048036182,2.130768381,1.220432794,0.222300852,0.487688283
TMEM131L,330.7996873,-0.796387195,1.602468858,-0.522604824,0.601249283,0.830505703
AC074286.1,25.07756322,0.171736077,1.607153842,1.893566885,0.058282522,0.197384396
ETV6,1004.172542,-0.69024371,1.265497679,-0.456566919,0.647982361,0.862694706
CCDC169,29.03934392,0.351186636,1.392377036,1.452906323,0.146249765,0.378467413
AC104506.1,29.30785742,0.499205243,1.692826744,2.56608118,0.010285475,0.047362282
SEMA6C,41.50925468,0.087420675,1.538395982,0.28882442,0.772715743,0.94534848
EPHB1,76.45248709,0.240069837,1.409555213,-2.74783322,0.005999052,0.029739389
LINC00393,17.21138628,-0.199374613,2.434025704,0.853359097,0.393460197,0.671759535
OGG1,297.2036924,0.176773513,1.767131725,0.808757889,0.418654423,0.693111244
MARVELD3,133.0699175,0.360796315,1.520001343,-3.119592522,0.001811014,0.010442827
PITPNC1,1544.72478,-0.047737719,1.384025548,-3.281009648,0.001034362,0.00634764
NDE1,149.9994248,-0.650755897,0.277314194,0,1,1
ZNF708,183.0084706,-0.422323772,0.379076096,-0.930580901,0.352070398,0.63555822
AC009163.7,13.38486019,0.1883203,1.658653336,1.296822167,0.194692382,0.451830417
RERGL,223.7070914,0.030122557,1.628946906,1.000946852,0.316852504,0.597357066
CLEC12A,79.61082913,0.499854126,1.884650702,-0.457006717,0.647666218,0.862392823
HSPE1,6259.561673,7.286642274,3.694764546,10.60925206,2.69901E-26,9.07224E-25
AC034206.1,26.82855119,0.383381841,1.966120111,1.525579439,0.127114636,0.345819203
AC090617.5,17.8273179,0.149389968,1.501970532,1.079853103,0.2802076,0.558389323
MPEG1,67.58910927,0.63562727,2.336239392,-0.428173923,0.6685245,0.877091779
SMIM10L2A,40.70540171,0.209240516,1.566878667,1.460158943,0.144246396,0.375484346
DPH2,53.35122044,0.436431801,1.307775414,3.024243916,0.002492554,0.013724696
